Date,Leaderboard Position
2026-07-01,146414
2026-07-02,133165
2026-07-03,126318
2026-07-04,126388
2026-07-05,126456
2026-07-06,125530
2026-07-07,125568
2026-07-08,125668
2026-07-09,125688
2026-07-10,124904
2026-07-11,124894
2026-07-12,124879
2026-07-13,124976
2026-07-14,124952
2026-07-15,124978
2026-07-16,125051
2026-07-17,125130
2026-07-18,125098
2026-07-19,125178
2026-07-20,125289
2026-07-21,125363
2026-07-22,125439
2026-07-23,125547
2026-07-24,125623
2026-07-25,125669
2026-07-26,125769
2026-07-27,125772
2026-07-28,125910
2026-07-29,125990
2026-07-30,126064
2026-07-31,126150
2026-08-01,126270
2026-08-02,126367
2026-08-03,126496
2026-08-04,126562
2026-08-05,126651
2026-08-06,126702
2026-08-07,126761
2026-08-08,126865
2026-08-09,126957
2026-08-10,127004
2026-08-11,127114
2026-08-12,127200
2026-08-13,127244
2026-08-14,127323
2026-08-15,127397
2026-08-16,127432
2026-08-17,127459
2026-08-18,127572
2026-08-19,127596
2026-08-20,127668
2026-08-21,127769
2026-08-22,127845
2026-08-23,127833
2026-08-24,127640
2026-08-25,127701
2026-08-26,127756
2026-08-27,127798
